feature,importance,rank,kept
Dst_Port,0.204478145955801,1,True
ACK_Flag_Cnt,0.10328134107987873,2,True
Src_Port,0.0753116481200478,3,True
Init_Bwd_Win_Byts,0.07386350911877958,4,True
Flow_Duration,0.06245312143284282,5,True
Flow_Pkts/s,0.048627284818139056,6,True
Bwd_Header_Len,0.040639317161913234,7,True
Flow_IAT_Max,0.02692532947694199,8,True
Bwd_IAT_Tot,0.02390734691527726,9,True
Pkt_Len_Max,0.022162155202693015,10,True
Protocol,0.021894426885892413,11,True
SYN_Flag_Cnt,0.017994424621789927,12,True
Idle_Max,0.017880733397347057,13,True
Flow_IAT_Mean,0.016010128149227764,14,True
Fwd_Pkt_Len_Mean,0.015027631228707206,15,True
Bwd_IAT_Max,0.014219477800373232,16,True
Bwd_IAT_Mean,0.013273634075423535,17,True
Fwd_Pkt_Len_Max,0.013257419934615895,18,True
Idle_Mean,0.011935815510789599,19,True
Bwd_Pkts/s,0.011415728603298656,20,True
Fwd_Pkts/s,0.011013427344623017,21,True
Bwd_IAT_Min,0.010883428473103396,22,True
Idle_Std,0.010596740986485966,23,True
Idle_Min,0.00984979626170167,24,True
Pkt_Len_Mean,0.009662387003161238,25,True
Flow_IAT_Min,0.007841045577573867,26,True
Fwd_Seg_Size_Avg,0.007818750348632613,27,True
Bwd_IAT_Std,0.007798047453394978,28,True
Pkt_Size_Avg,0.007689726431425341,29,True
Tot_Bwd_Pkts,0.006689841456401141,30,True
Flow_IAT_Std,0.006477480505317884,31,True
TotLen_Fwd_Pkts,0.006460305204620189,32,True
Fwd_Header_Len,0.0062787018830431154,33,True
TotLen_Bwd_Pkts,0.005477704964824265,34,True
Subflow_Bwd_Byts,0.0053898071557117,35,True
Bwd_Pkt_Len_Mean,0.004711319576549296,36,True
Flow_Byts/s,0.004425283453300388,37,True
Subflow_Fwd_Byts,0.004384268568196002,38,True
Bwd_Seg_Size_Avg,0.003980378882218679,39,True
Bwd_Pkt_Len_Min,0.003880139574616341,40,True
Bwd_Pkt_Len_Max,0.0036754890035370275,41,True
Subflow_Bwd_Pkts,0.0027853926807754233,42,True
Subflow_Fwd_Pkts,0.002707383701185024,43,True
Fwd_Pkt_Len_Min,0.0024369903613301203,44,True
Pkt_Len_Min,0.0020690573758764628,45,True
Tot_Fwd_Pkts,0.0018433644210157476,46,True
Fwd_IAT_Tot,0.001410986703885774,47,True
Pkt_Len_Std,0.0012032591898810097,48,True
Fwd_IAT_Max,0.0010523209310101579,49,True
Fwd_IAT_Mean,0.0010061823588655117,50,True
Pkt_Len_Var,0.00090288727660983,51,True
Down/Up_Ratio,0.0004849638147934035,52,True
Fwd_Act_Data_Pkts,0.0004383600627910256,53,True
Fwd_Pkt_Len_Std,0.0003864942143656833,54,True
Fwd_IAT_Min,0.0003693027233183387,55,True
Bwd_PSH_Flags,0.000301802249809768,56,True
PSH_Flag_Cnt,0.0003001581172897826,57,True
Bwd_Pkt_Len_Std,0.0002847249283718566,58,True
Fwd_IAT_Std,0.0002728394632080671,59,True
Active_Max,0.00010327911011915167,60,True
Active_Mean,7.011167909572919e-05,61,True
FIN_Flag_Cnt,9.442980566201485e-06,62,True
Active_Min,7.228430470010233e-06,63,False
ECE_Flag_Cnt,5.092025447651227e-06,64,False
CWE_Flag_Count,2.46107176893619e-06,65,False
RST_Flag_Cnt,1.7894407350841509e-06,66,False
Active_Std,1.4350891964198063e-06,67,False
Bwd_URG_Flags,0.0,68,False
URG_Flag_Cnt,0.0,69,False
